Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 4-комнатной квартиры 101,1м², 4/14этаж",Минская,"•до центра 8,8 км",692384₽/м²,4-комнатная,4,14,,,,70000000
"Продажа 4-комнатной квартиры 172м², 19/42этаж",Ломоносовский проспект,"•до центра 8,5 км",546512₽/м²,4-комнатная,19,42,172м²,70м²,25м²,94000000
"Продажа 3-комнатной квартиры 150,3м², 12/53этаж",Ломоносовский проспект,"•до центра 6,8 км",897754₽/м²,,,,"150,3м²",21м²,18м²,134932489
"Продажа многокомнатной квартиры 343м², 8/9этаж",Ломоносовский проспект,"•до центра 7,2 км",1536662₽/м²,6-комнатная,8,9,343м²,200м²,30м²,527075000
"Продажа многокомнатной квартиры 160м², 10/14этаж",Минская,"•до центра 8,9 км",749369₽/м²,6-комнатная,10,14,160м²,91м²,23м²,119899000
"Продажа квартиры со свободной планировкой 93,7м², 1/17этаж",Студенческая,"•до центра 6,7 км",320171₽/м²,апартаменты,1,17,,,,29999999
"Продажа многокомнатной квартиры 240,6м², 4/10этаж",Минская,"•до центра 8,3 км",1005362₽/м²,5-комнатная,4,10,,,,241890000
"Продажа 3-комнатной квартиры 103м², 5/8этаж",Аминьевская,"•до центра 11,3 км",533981₽/м²,3-комнатная,5,8,103м²,"47,5м²","18,6м²",55000000
"Продажа квартиры-студии 26,9м², 6/14этаж",Минская,"•до центра 8,8 км",576208₽/м²,,,,,,,15500000
"Продажа 3-комнатной квартиры 96,8м², 41/49этаж",Мичуринский проспект,"•до центра 11,3 км",445600₽/м²,,,,,,,43134080
"Продажа 2-комнатной квартиры 80,4м², 5/21этаж",Ломоносовский проспект,•до центра 9 км,447761₽/м²,2-комнатная,5,21,"80,4м²",39м²,12м²,36000000
"Продажа 2-комнатной квартиры 43,1м², 5/14этаж",Минская,"•до центра 8,9 км",595128₽/м²,2-комнатная,5,14,,,,25650000
"Продажа 3-комнатной квартиры 60м², 7/31этаж",Аминьевская,"•до центра 11,5 км",583167₽/м²,3-комнатная,7,31,60м²,35м²,16м²,34990000
"Продажа 3-комнатной квартиры 73,7м², 12/14этаж",Ломоносовский проспект,"•до центра 8,4 км",472863₽/м²,3-комнатная,12,14,"73,7м²","51,2м²","9,4м²",34850000
