Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 2-комнатной квартиры 66,9м², 2/28этаж",Аминьевская,"•до центра 11,5 км",597907₽/м²,2-комнатная,2,28,"66,9м²","19,9м²",21м²,40000000
"Продажа 3-комнатной квартиры 97,4м², 2/12этаж",Мичуринский проспект,"•до центра 11,1 км",790554₽/м²,3-комнатная,2,12,"97,4м²",51м²,"24,8м²",77000000
"Продажа 3-комнатной квартиры 93м², 7/14этаж",Минская,•до центра 9 км,698925₽/м²,3-комнатная,7,14,93м²,66м²,14м²,65000000
"Продажа 2-комнатной квартиры 63м², 27/41этаж",Киевская,"•до центра 5,6 км",683500₽/м²,,,,,,,43060500
"Продажа 2-комнатной квартиры 75,9м², 8/29этаж",Аминьевская,"•до центра 11,2 км",509597₽/м²,2-комнатная,8,29,,,,38678431
"Продажа 4-комнатной квартиры 124,8м², 11/28этаж",Раменки,"•до центра 9,9 км",576522₽/м²,4-комнатная,11,28,,,,71950000
"Продажа 1-комнатной квартиры 38м², 11/22этаж",Раменки,"•до центра 9,5 км",417105₽/м²,1-комнатная,11,22,38м²,"19,9м²",10м²,15850000
"Продажа 3-комнатной квартиры 63,6м², 4/41этаж",Киевская,"•до центра 5,6 км",700000₽/м²,3-комнатная,4,41,,,,44506000
"Продажа 3-комнатной квартиры 65,9м², 3/8этаж",Ломоносовский проспект,"•до центра 7,7 км",424886₽/м²,3-комнатная,3,8,"65,9м²","43,7м²","7,8м²",28000000
"Продажа 4-комнатной квартиры 95м², 13/14этаж",Минская,"•до центра 8,9 км",670000₽/м²,4-комнатная,13,14,95м²,60м²,15м²,63650000
"Продажа 1-комнатной квартиры 51м², 10/14этаж",Минская,"•до центра 8,7 км",643137₽/м²,1-комнатная,10,14,51м²,"14,7м²","27,7м²",32800000
"Продажа 4-комнатной квартиры 192м², 9/39этаж",Минская,"•до центра 8,5 км",947917₽/м²,4-комнатная,9,39,192м²,101м²,20м²,182000000
"Продажа квартиры-студии 35,5м², 38/41этаж",Киевская,"•до центра 5,6 км",793000₽/м²,,,,,,,28175290
"Продажа 2-комнатной квартиры 75м², 5/22этаж",Ломоносовский проспект,"•до центра 8,8 км",520000₽/м²,2-комнатная,5,22,,,,39000000
"Продажа многокомнатной квартиры 180м², 18/22этаж",Минская,"•до центра 6,9 км",444444₽/м²,5-комнатная,18,22,,,,80000000
"Продажа 4-комнатной квартиры 98м², 10/14этаж",Минская,"•до центра 8,9 км",612143₽/м²,4-комнатная,10,14,,,,59990000
"Продажа 3-комнатной квартиры 160м², 47/54этаж",Ломоносовский проспект,"•до центра 6,8 км",1217500₽/м²,апартаменты,,,,,,194800000
"Продажа 4-комнатной квартиры 191м², 8/9этаж",Ломоносовский проспект,"•до центра 7,3 км",1547403₽/м²,4-комнатная,8,9,,,,295554000
"Продажа 4-комнатной квартиры 107м², 12/22этаж",Раменки,"•до центра 10,5 км",607477₽/м²,4-комнатная,12,22,107м²,73м²,20м²,65000000
"Продажа 3-комнатной квартиры 90,8м², 11/17этаж",Раменки,"•до центра 9,5 км",396476₽/м²,3-комнатная,11,17,,,,36000000
"Продажа многокомнатной квартиры 165м², 3/16этаж",Ломоносовский проспект,•до центра 9 км,581818₽/м²,5-комнатная,3,16,165м²,"107,3м²",13м²,96000000
"Продажа многокомнатной квартиры 170м², 10/14этаж",Минская,"•до центра 8,8 км",705882₽/м²,5-комнатная,10,14,,,,120000000
"Продажа 2-комнатной квартиры 77м², 47/52этаж",Мичуринский проспект,"•до центра 10,7 км",518182₽/м²,,,,,,,39900000
"Продажа 3-комнатной квартиры 165,1м², 31/32этаж",Минская,"•до центра 7,4 км",2054092₽/м²,,,,,,,339212786
"Продажа 4-комнатной квартиры 156м², 5/30этаж",Ломоносовский проспект,"•до центра 6,8 км",480769₽/м²,,,,156м²,"89,5м²",25м²,75000000
"Продажа 3-комнатной квартиры 69,5м², 20/41этаж",Киевская,"•до центра 5,6 км",672000₽/м²,3-комнатная,20,41,,,,46710720
"Продажа 3-комнатной квартиры 71м², 8/14этаж",Минская,"•до центра 8,8 км",549296₽/м²,3-комнатная,8,14,71м²,52м²,12м²,39000000
"Продажа 3-комнатной квартиры 88,6м², 4/8этаж",Студенческая,"•до центра 6,7 км",563205₽/м²,3-комнатная,4,8,"88,6м²","65,6м²","8,3м²",49900000
"Продажа 3-комнатной квартиры 84,2м², 37/52этаж",Минская,"•до центра 9,5 км",432946₽/м²,,,,,,,36454046
"Продажа 1-комнатной квартиры 44,2м², 5/14этаж",Минская,•до центра 9 км,769231₽/м²,1-комнатная,5,14,"44,2м²",14м²,21м²,34000000
"Продажа многокомнатной квартиры 404м², 45/45этаж",Ломоносовский проспект,"•до центра 8,5 км",346535₽/м²,,,,,,,140000000
"Продажа 2-комнатной квартиры 47,3м², 31/56этаж",Минская,"•до центра 9,4 км",495268₽/м²,,,,,,,23426185
"Продажа 3-комнатной квартиры 114м², 5/21этаж",Ломоносовский проспект,•до центра 9 км,517544₽/м²,3-комнатная,5,21,,,,59000000
"Продажа многокомнатной квартиры 81м², 9/14этаж",Минская,"•до центра 8,8 км",524691₽/м²,5-комнатная,9,14,81м²,40м²,16м²,42500000
"Продажа 3-комнатной квартиры 78,9м², 7/52этаж",Минская,"•до центра 9,5 км",386528₽/м²,3-комнатная,7,52,"78,9м²","56,1м²",6м²,30497071
"Продажа 1-комнатной квартиры 45м², 10/14этаж",Минская,"•до центра 8,9 км",622222₽/м²,1-комнатная,10,14,45м²,30м²,7м²,28000000
"Продажа 2-комнатной квартиры 77,6м², 13/14этаж",Минская,"•до центра 8,8 км",633119₽/м²,2-комнатная,13,14,"77,6м²",32м²,29м²,49130000
"Продажа многокомнатной квартиры 345м², 17/19этаж",Раменки,•до центра 10 км,275362₽/м²,6-комнатная,17,19,345м²,280м²,30м²,95000000
